Prod,PUBLICO TIENDA
ALFOMBRA MANTA DE SILICONA ANTIESTATICA AZUL,1150
ALFOMBRA TERMICA CP320,4588
ALICATE DE PRECISION RELIFE RL-001,390
ALQUILER EQUIPO DE CERTIFICACIÓN,3
ALTAVOZ HUAWEI NOVA 5T,1350
ALTAVOZ IPHONE 12 MINI (INFERIOR),3990
ALTAVOZ IPHONE 13,1900
ALTAVOZ IPHONE 13 MINI,1900
ALTAVOZ IPHONE 13 PRO MAX,2500
ALTAVOZ IPHONE 7 PLUS,1437
ALTAVOZ IPHONE 8,1782
ALTAVOZ IPHONE XR,1890
ALTAVOZ SAMSUNG A20S,1500
ALTAVOZ XIAOMI REDMI NOTE 5,1500
ANTENA WIFI HUAWEI P9 LITE,1150
ANTENA WIFI IPHONE 11,1690
ANTENA WIFI IPHONE 6,1300
ANTENA WIFI IPHONE 6 PLUS,1300
ANTENA WIFI IPHONE 7,1600
ANTENA WIFI IPHONE 7 PLUS,1200
ANTENA WIFI IPHONE X,1500
ANTENA WIFI SAMSUNG S8,1350
ANTENA WIFI XIAOMI REDMI 4X,1250
ANTENA WIFI XIAOMI REDMI NOTE 9S,1200
AROS PARA CAMARA DE IPHONE 8 AL 13 PRO,300
AURICULAR SAMSUNG A70,1200
AURICULAR SAMSUNG S9 PLUS,1490
AURICULAR XIAOMI MI 8 LITE,1200
AURICULAR XIAOMI REDMI NOTE 5A,1400
BANDEJA MAQUINA LASER TBK-958B,150
BANDEJA ORGANIZADORA DE TORNILLO MAGNETICA,390
BANDEJA PORTA SIM MOTOROLA E6S XT2053,500
BANDEJA PORTA SIM XIAOMI MI A1,600
BANDEJA SIM,700
BANDEJA SIM A325 / A32,690
BANDEJA SIM A50,600
BANDEJA SIM HUAWEI P30 LITE,690
BANDEJA SIM HUAWEI Y5 2018,890
BANDEJA SIM HUAWEI Y9 2019,890
BANDEJA SIM IPHONE 11 PRO,890
BANDEJA SIM IPHONE XS MAX,1600
BANDEJA SIM SAMSUNG A10,490
BANDEJA SIM SAMSUNG A21S,490
BANDEJA SIM SAMSUNG S21 ULTRA / G998,1200
BANDEJA SIM XIAOMI REDMI NOTE 7,690
BANDEJA SIM XIAOMI REDMI NOTE 8,590
BATERIA APPLE WATCH S1 38 MM,3500
BATERIA APPLE WATCH S1 42 MM,3500
BATERIA APPLE WATCH S2 38 MM,3500
BATERIA APPLE WATCH S2 42 MM,3500
BATERIA APPLE WATCH S3 38 MM,3500
BATERIA APPLE WATCH S3 38 MM GPS,3500
BATERIA APPLE WATCH S3 38 MM LTE,3500
BATERIA APPLE WATCH S3 42 MM,3500
BATERIA APPLE WATCH S3 42 MM GPS,3500
BATERIA APPLE WATCH S3 42 MM LTE,3500
BATERIA APPLE WATCH S4 40 MM,4500
BATERIA APPLE WATCH S4 44MM,4500
BATERIA APPLE WATCH S5 40 MM,4500
BATERIA APPLE WATCH S5 44 MM,4500
BATERIA CATERPILLAR S60,1500
BATERIA GOOGLE PIXEL 4XL,1500
